국가,종목,금,은,동,합계
대한민국,양궁,5,1,1,7  
프랑스,양궁,0,1,1,2  
미국,양궁,0,1,1,2  
중국,양궁,0,1,0,1  
독일,양궁,0,1,0,1  
멕시코,양궁,0,0,1,1  
튀르키예,양궁,0,0,1,1  
중국,아티스틱 스위밍,2,0,0,2  
영국,아티스틱 스위밍,0,1,0,1  
미국,아티스틱 스위밍,0,1,0,1  
네덜란드,아티스틱 스위밍,0,0,1,1  
스페인,아티스틱 스위밍,0,0,1,1  
미국,육상,14,11,9,34  
케냐,육상,4,2,5,11  
캐나다,육상,3,1,1,5  
네덜란드,육상,2,1,3,6  
스페인,육상,2,1,1,4  
노르웨이,육상,2,1,0,3  
영국,육상,1,4,5,10  
자메이카,육상,1,3,2,6  
에티오피아,육상,1,3,0,4  
오스트레일리아,육상,1,2,4,7  
독일,육상,1,2,1,4  
중국,육상,1,1,2,4  
벨기에,육상,1,1,1,3  
바레인,육상,1,1,0,2  
보츠와나,육상,1,1,0,2  
에콰도르,육상,1,1,0,2  
뉴질랜드,육상,1,1,0,2  
세인트루시아,육상,1,1,0,2  
우간다,육상,1,1,0,2  
우크라이나,육상,1,0,2,3  
그리스,육상,1,0,1,2  
도미니카공화국,육상,1,0,0,1  
도미니카,육상,1,0,0,1  
일본,육상,1,0,0,1  
모로코,육상,1,0,0,1  
파키스탄,육상,1,0,0,1  
스웨덴,육상,1,0,0,1  
남아프리카공화국,육상,0,2,0,2  
이탈리아,육상,0,1,2,3  
브라질,육상,0,1,1,2  
프랑스,육상,0,1,0,1  
헝가리,육상,0,1,0,1  
인도,육상,0,1,0,1  
리투아니아,육상,0,1,0,1  
포르투갈,육상,0,1,0,1  
그레나다,육상,0,0,2,2  
알제리,육상,0,0,1,1  
크로아티아,육상,0,0,1,1  
체코 공화국,육상,0,0,1,1  
폴란드,육상,0,0,1,1  
푸에르토리코,육상,0,0,1,1  
카타르,육상,0,0,1,1  
잠비아,육상,0,0,1,1  
중국,배드민턴,2,3,0,5  
대한민국,배드민턴,1,1,0,2  
차이니스 타이베이,배드민턴,1,0,0,1  
덴마크,배드민턴,1,0,0,1  
태국,배드민턴,0,1,0,1  
일본,배드민턴,0,0,2,2  
말레이시아,배드민턴,0,0,2,2  
인도네시아,배드민턴,0,0,1,1  
미국,농구,2,0,1,3  
독일,농구,1,0,0,1  
네덜란드,농구,1,0,0,1  
프랑스,농구,0,3,0,3  
스페인,농구,0,1,0,1  
오스트레일리아,농구,0,0,1,1  
리투아니아,농구,0,0,1,1  
세르비아,농구,0,0,1,1  
우즈베키스탄,복싱,5,0,0,5  
중국,복싱,3,2,0,5  
차이니스 타이베이,복싱,1,0,2,3  
쿠바,복싱,1,0,1,2  
알제리,복싱,1,0,0,1  
아일랜드,복싱,1,0,0,1  
우크라이나,복싱,1,0,0,1  
프랑스,복싱,0,2,1,3  
튀르키예,복싱,0,2,1,3  
카자흐스탄,복싱,0,1,1,2  
스페인,복싱,0,1,1,2  
아제르바이잔,복싱,0,1,0,1  
키르기스스탄,복싱,0,1,0,1  
멕시코,복싱,0,1,0,1  
파나마,복싱,0,1,0,1  
폴란드,복싱,0,1,0,1  
오스트레일리아,복싱,0,0,2,2  
도미니카공화국,복싱,0,0,2,2  
필리핀,복싱,0,0,2,2  
브라질,복싱,0,0,1,1  
불가리아,복싱,0,0,1,1  
캐나다,복싱,0,0,1,1  
카보베르데,복싱,0,0,1,1  
조지아,복싱,0,0,1,1  
독일,복싱,0,0,1,1  
영국,복싱,0,0,1,1  
북한,복싱,0,0,1,1  
난민 올림픽 대표팀,복싱,0,0,1,1  
대한민국,복싱,0,0,1,1  
타지키스탄,복싱,0,0,1,1  
태국,복싱,0,0,1,1  
미국,복싱,0,0,1,1  
캐나다,브레이킹,1,0,0,1  
일본,브레이킹,1,0,0,1  
프랑스,브레이킹,0,1,0,1  
리투아니아,브레이킹,0,1,0,1  
중국,브레이킹,0,0,1,1  
미국,브레이킹,0,0,1,1  
뉴질랜드,카누,4,0,0,4  
오스트레일리아,카누,3,1,1,5  
독일,카누,2,2,2,6  
중국,카누,2,0,0,2  
체코 공화국,카누,2,0,0,2  
프랑스,카누,1,2,0,3  
이탈리아,카누,1,1,0,2  
캐나다,카누,1,0,1,2  
헝가리,카누,0,4,3,7  
영국,카누,0,2,2,4  
미국,카누,0,1,1,2  
브라질,카누,0,1,0,1  
폴란드,카누,0,1,0,1  
우크라이나,카누,0,1,0,1  
스페인,카누,0,0,3,3  
쿠바,카누,0,0,1,1  
덴마크,카누,0,0,1,1  
몰도바,카누,0,0,1,1  
슬로바키아,카누,0,0,1,1  
프랑스,사이클,3,3,3,9  
네덜란드,사이클,3,3,1,7  
오스트레일리아,사이클,3,2,3,8  
미국,사이클,3,2,1,6  
영국,사이클,2,5,4,11  
뉴질랜드,사이클,2,2,1,5  
벨기에,사이클,2,0,3,5  
이탈리아,사이클,1,2,1,4  
포르투갈,사이클,1,1,0,2  
아르헨티나,사이클,1,0,0,1  
중국,사이클,1,0,0,1  
독일,사이클,0,1,1,2  
폴란드,사이클,0,1,0,1  
덴마크,사이클,0,0,1,1  
남아프리카공화국,사이클,0,0,1,1  
스웨덴,사이클,0,0,1,1  
스위스,사이클,0,0,1,1  
중국,다이빙,8,2,1,11  
영국,다이빙,0,1,4,5  
멕시코,다이빙,0,1,1,2  
북한,다이빙,0,1,1,2  
오스트레일리아,다이빙,0,1,0,1  
일본,다이빙,0,1,0,1  
미국,다이빙,0,1,0,1  
캐나다,다이빙,0,0,1,1  
독일,승마,4,1,0,5  
영국,승마,2,0,3,5  
프랑스,승마,0,1,1,2  
오스트레일리아,승마,0,1,0,1  
덴마크,승마,0,1,0,1  
스위스,승마,0,1,0,1  
미국,승마,0,1,0,1  
일본,승마,0,0,1,1  
네덜란드,승마,0,0,1,1  
일본,펜싱,2,1,2,5  
미국,펜싱,2,1,1,4  
대한민국,펜싱,2,1,0,3  
홍콩,펜싱,2,0,0,2  
프랑스,펜싱,1,4,2,7  
이탈리아,펜싱,1,3,1,5  
헝가리,펜싱,1,1,1,3  
우크라이나,펜싱,1,0,1,2  
튀니지,펜싱,0,1,0,1  
캐나다,펜싱,0,0,1,1  
체코 공화국,펜싱,0,0,1,1  
이집트,펜싱,0,0,1,1  
폴란드,펜싱,0,0,1,1  
네덜란드,필드 하키,2,0,0,2  
중국,필드 하키,0,1,0,1  
독일,필드 하키,0,1,0,1  
아르헨티나,필드 하키,0,0,1,1  
인도,필드 하키,0,0,1,1  
스페인,축구,1,0,0,1  
미국,축구,1,0,0,1  
브라질,축구,0,1,0,1  
프랑스,축구,0,1,0,1  
독일,축구,0,0,1,1  
모로코,축구,0,0,1,1  
뉴질랜드,골프,1,0,0,1  
미국,골프,1,0,0,1  
독일,골프,0,1,0,1  
영국,골프,0,1,0,1  
중국,골프,0,0,1,1  
일본,골프,0,0,1,1  
중국,체조,3,6,3,12  
미국,체조,3,1,5,9  
일본,체조,3,0,1,4  
필리핀,체조,2,0,0,2  
브라질,체조,1,2,1,4  
이탈리아,체조,1,1,3,5  
개인 중립 선수단,체조,1,1,0,2  
영국,체조,1,0,2,3  
알제리,체조,1,0,0,1  
독일,체조,1,0,0,1  
아일랜드,체조,1,0,0,1  
이스라엘,체조,0,2,0,2  
아르메니아,체조,0,1,0,1  
불가리아,체조,0,1,0,1  
콜롬비아,체조,0,1,0,1  
카자흐스탄,체조,0,1,0,1  
우크라이나,체조,0,1,0,1  
캐나다,체조,0,0,1,1  
차이니스 타이베이,체조,0,0,1,1  
그리스,체조,0,0,1,1  
루마니아,체조,0,0,1,1  
덴마크,핸드볼,1,0,1,2  
노르웨이,핸드볼,1,0,0,1  
프랑스,핸드볼,0,1,0,1  
독일,핸드볼,0,1,0,1  
스페인,핸드볼,0,0,1,1  
일본,유도,3,2,3,8  
프랑스,유도,2,2,6,10  
아제르바이잔,유도,2,0,0,2  
조지아,유도,1,2,0,3  
브라질,유도,1,1,2,4  
우즈베키스탄,유도,1,0,2,3  
카자흐스탄,유도,1,0,1,2  
캐나다,유도,1,0,0,1  
크로아티아,유도,1,0,0,1  
이탈리아,유도,1,0,0,1  
슬로베니아,유도,1,0,0,1  
대한민국,유도,0,2,3,5  
이스라엘,유도,0,2,1,3  
코소보,유도,0,1,1,2  
독일,유도,0,1,0,1  
멕시코,유도,0,1,0,1  
몽골,유도,0,1,0,1  
몰도바,유도,0,0,2,2  
타지키스탄,유도,0,0,2,2  
오스트리아,유도,0,0,1,1  
벨기에,유도,0,0,1,1  
중국,유도,0,0,1,1  
그리스,유도,0,0,1,1  
포르투갈,유도,0,0,1,1  
스페인,유도,0,0,1,1  
스웨덴,유도,0,0,1,1  
이집트,근대 5종,1,0,0,1  
헝가리,근대 5종,1,0,0,1  
프랑스,근대 5종,0,1,0,1  
일본,근대 5종,0,1,0,1  
이탈리아,근대 5종,0,0,1,1  
대한민국,근대 5종,0,0,1,1  
네덜란드,조정,4,3,1,8  
영국,조정,3,2,3,8  
루마니아,조정,2,3,0,5  
뉴질랜드,조정,1,2,1,4  
독일,조정,1,0,1,2  
아일랜드,조정,1,0,1,2  
미국,조정,1,0,1,2  
크로아티아,조정,1,0,0,1  
이탈리아,조정,0,2,0,2
캐나다,조정,0,1,0,1  
개인 중립 선수단,조정,0,1,0,1  
그리스,조정,0,0,2,2  
오스트레일리아,조정,0,0,1,1  
리투아니아,조정,0,0,1,1  
폴란드,조정,0,0,1,1  
스위스,조정,0,0,1,1  
프랑스,7인제 럭비,1,0,0,1  
뉴질랜드,7인제 럭비,1,0,0,1  
캐나다,7인제 럭비,0,1,0,1  
피지,7인제 럭비,0,1,0,1  
남아프리카공화국,7인제 럭비,0,0,1,1  
미국,7인제 럭비,0,0,1,1  
네덜란드,요트,2,0,2,4  
오스트리아,요트,2,0,0,2  
이탈리아,요트,2,0,0,2  
오스트레일리아,요트,1,1,0,2  
이스라엘,요트,1,1,0,2  
영국,요트,1,0,1,2  
스페인,요트,1,0,0,1  
프랑스,요트,0,1,1,2  
뉴질랜드,요트,0,1,1,2  
스웨덴,요트,0,1,1,2  
아르헨티나,요트,0,1,0,1  
키프로스,요트,0,1,0,1  
덴마크,요트,0,1,0,1  
일본,요트,0,1,0,1  
슬로베니아,요트,0,1,0,1  
노르웨이,요트,0,0,1,1  
페루,요트,0,0,1,1  
싱가포르,요트,0,0,1,1  
미국,요트,0,0,1,1  
중국,사격,5,2,3,10  
대한민국,사격,3,3,0,6  
미국,사격,1,3,1,5  
이탈리아,사격,1,2,1,4  
영국,사격,1,1,0,2  
과테말라,사격,1,0,1,2  
스위스,사격,1,0,1,2  
칠레,사격,1,0,0,1  
세르비아,사격,1,0,0,1  
프랑스,사격,0,1,0,1  
스웨덴,사격,0,1,0,1  
튀르키예,사격,0,1,0,1  
우크라이나,사격,0,1,0,1  
인도,사격,0,0,3,3  
오스트레일리아,사격,0,0,1,1  
차이니스 타이베이,사격,0,0,1,1  
크로아티아,사격,0,0,1,1  
헝가리,사격,0,0,1,1  
카자흐스탄,사격,0,0,1,1  
일본,스케이트보드,2,2,0,4  
오스트레일리아,스케이트보드,2,0,0,2  
미국,스케이트보드,0,2,1,3  
브라질,스케이트보드,0,0,2,2  
영국,스케이트보드,0,0,1,1  
폴란드,스포츠 클라이밍,1,0,1,2  
영국,스포츠 클라이밍,1,0,0,1  
인도네시아,스포츠 클라이밍,1,0,0,1  
슬로베니아,스포츠 클라이밍,1,0,0,1  
중국,스포츠 클라이밍,0,2,0,2  
미국,스포츠 클라이밍,0,1,1,2  
일본,스포츠 클라이밍,0,1,0,1  
오스트리아,스포츠 클라이밍,0,0,2,2  
프랑스,서핑,1,0,1,2  
미국,서핑,1,0,0,1  
브라질,서핑,0,1,1,2  
오스트레일리아,서핑,0,1,0,1  
미국,수영,8,13,7,28  
오스트레일리아,수영,7,9,3,19  
프랑스,수영,4,1,2,7  
캐나다,수영,3,2,3,8  
헝가리,수영,3,1,1,5  
중국,수영,2,3,7,12  
이탈리아,수영,2,1,3,6  
스웨덴,수영,2,0,0,2  
영국,수영,1,4,0,5  
독일,수영,1,1,1,3  
남아프리카공화국,수영,1,1,0,2  
아일랜드,수영,1,0,2,3  
네덜란드,수영,1,0,2,3  
루마니아,수영,1,0,1,2  
그리스,수영,0,1,0,1  
일본,수영,0,1,0,1  
홍콩,수영,0,0,2,2  
대한민국,수영,0,0,1,1  
스위스,수영,0,0,1,1  
중국,탁구,5,1,0,6  
스웨덴,탁구,0,2,0,2  
일본,탁구,0,1,1,2  
북한,탁구,0,1,0,1  
프랑스,탁구,0,0,2,2  
대한민국,탁구,0,0,2,2  
대한민국,태권도,2,0,1,3  
이란,태권도,1,2,1,4  
우즈베키스탄,태권도,1,1,0,2  
프랑스,태권도,1,0,1,2  
튀니지,태권도,1,0,1,2  
헝가리,태권도,1,0,0,1  
태국,태권도,1,0,0,1  
중국,태권도,0,1,1,2  
아제르바이잔,태권도,0,1,0,1  
영국,태권도,0,1,0,1  
요르단,태권도,0,1,0,1  
세르비아,태권도,0,1,0,1  
벨기에,태권도,0,0,1,1  
브라질,태권도,0,0,1,1  
불가리아,태권도,0,0,1,1  
캐나다,태권도,0,0,1,1  
크로아티아,태권도,0,0,1,1  
쿠바,태권도,0,0,1,1  
덴마크,태권도,0,0,1,1  
이탈리아,태권도,0,0,1,1  
코트디부아르,태권도,0,0,1,1  
튀르키예,태권도,0,0,1,1  
미국,태권도,0,0,1,1  
세르비아,테니스,1,0,0,1  
오스트레일리아,테니스,1,0,0,1  
중국,테니스,1,1,0,2  
이탈리아,테니스,1,0,1,2  
체코 공화국,테니스,1,0,0,1  
스페인,테니스,0,1,1,2  
미국,테니스,0,1,1,2  
크로아티아,테니스,0,1,0,1  
개인 중립 선수단,테니스,0,1,0,1  
캐나다,테니스,0,0,1,1  
폴란드,테니스,0,0,1,1  
영국,트라이애슬론,1,0,2,3  
프랑스,트라이애슬론,1,0,1,2  
독일,트라이애슬론,1,0,0,1  
뉴질랜드,트라이애슬론,0,1,0,1  
스위스,트라이애슬론,0,1,0,1  
미국,트라이애슬론,0,1,0,1  
브라질,배구,1,0,1,2  
프랑스,배구,1,0,0,1  
이탈리아,배구,1,0,0,1  
스웨덴,배구,1,0,0,1  
미국,배구,0,1,1,2  
캐나다,배구,0,1,0,1  
독일,배구,0,1,0,1  
폴란드,배구,0,1,0,1  
노르웨이,배구,0,0,1,1  
스위스,배구,0,0,1,1  
세르비아,수구,1,0,0,1  
스페인,수구,1,0,0,1  
오스트레일리아,수구,0,1,0,1  
크로아티아,수구,0,1,0,1  
네덜란드,수구,0,0,1,1  
미국,수구,0,0,1,1  
중국,역도,5,0,0,5  
불가리아,역도,1,0,1,2  
미국,역도,1,0,1,2  
조지아,역도,1,0,0,1  
인도네시아,역도,1,0,0,1  
노르웨이,역도,1,0,0,1  
태국,역도,0,2,1,3  
콜롬비아,역도,0,2,0,2  
아르메니아,역도,0,1,0,1  
캐나다,역도,0,1,0,1  
이집트,역도,0,1,0,1  
루마니아,역도,0,1,0,1  
대한민국,역도,0,1,0,1  
우즈베키스탄,역도,0,1,0,1  
에콰도르,역도,0,0,2,2  
바레인,역도,0,0,1,1  
차이니스 타이베이,역도,0,0,1,1  
영국,역도,0,0,1,1  
이탈리아,역도,0,0,1,1
개인 중립 선수단,역도,0,0,1,1  
일본,레슬링,8,1,2,11  
이란,레슬링,2,4,2,8  
미국,레슬링,2,2,3,7  
불가리아,레슬링,2,0,0,2  
쿠바,레슬링,1,1,3,5  
조지아,레슬링,1,1,0,2  
우즈베키스탄,레슬링,1,0,1,2  
바레인,레슬링,1,0,0,1  
우크라이나,레슬링,0,2,1,3  
중국,레슬링,0,1,4,5  
키르기스스탄,레슬링,0,1,4,5  
아르메니아,레슬링,0,1,1,2  
칠레,레슬링,0,1,0,1  
에콰도르,레슬링,0,1,0,1  
카자흐스탄,레슬링,0,1,0,1  
몰도바,레슬링,0,1,0,1  
아제르바이잔,레슬링,0,0,3,3  
알바니아,레슬링,0,0,2,2  
북한,레슬링,0,0,2,2  
튀르키예,레슬링,0,0,2,2  
콜롬비아,레슬링,0,0,1,1  
덴마크,레슬링,0,0,1,1  
그리스,레슬링,0,0,1,1  
인도,레슬링,0,0,1,1  
노르웨이,레슬링,0,0,1,1  
푸에르토리코,레슬링,0,0,1,1  
